actors,actors_celebrity
"Hitomi Kuroki, Rio Kanno, Shigemitsu Ogi, Mirei Oguchi, Asami Mizukawa, Yu Tokui, Fumiyo Kohinata, Isao Yatsu","[('Hitomi Kuroki', 66), ('Rio Kanno', 32), ('Shigemitsu Ogi', 40), ('Mirei Oguchi', 0), ('Asami Mizukawa', 48), ('Yu Tokui', 26), ('Fumiyo Kohinata', 48), ('Isao Yatsu', 26)]"
"Jodie Foster, Kelly McGillis, Bernie Coulson, Leo Rossi, Ann Hearn, Steve Antin, Tom O'Brien, Allan Lysell, Carmen Argenziano, Terry David Mulligan, Woody Brown, Peter Van Norden, Scott Paulin, Kim Kondrashoff, Stephen E. Miller, Andrew Kavadas, Tom McBeath, Rose Weaver, Linda Darlow, Veena Sood, Anthony Holland, Kevin McNulty, Jerry Wasserman, Barney O'Sullivan, Christianne Hirt, Frances Flanagan, Mike Winlaw, Deryl Hayes, Dana Still, Denalda Williams, Babs Chula, Rebecca Toolan, Stephen Dimopoulos, Freda Perry, Dave Sheridan, Gary Chalk, Garwin Sanford, Gloria Lee, Michelle Goodger, Thomas Heaton, Pamela Sue Martin, Wally Marsh","[('Jodie Foster', 295), ('Kelly McGillis', 102), ('Bernie Coulson', 29), ('Leo Rossi', 57), ('Ann Hearn', 34), ('Steve Antin', 65), (""Tom O'Brien"", 36), ('Allan Lysell', 0), ('Carmen Argenziano', 55), ('Terry David Mulligan', 34), ('Woody Brown', 31), ('Peter Van Norden', 25), ('Scott Paulin', 36), ('Kim Kondrashoff', 0), ('Stephen E. Miller', 45), ('Andrew Kavadas', 20), ('Tom McBeath', 31), ('Rose Weaver', 16), ('Linda Darlow', 25), ('Veena Sood', 17), ('Anthony Holland', 39), ('Kevin McNulty', 33), ('Jerry Wasserman', 51), (""Barney O'Sullivan"", 0), ('Christianne Hirt', 0), ('Frances Flanagan', 0), ('Mike Winlaw', 0), ('Deryl Hayes', 12), ('Dana Still', 0), ('Denalda Williams', 0), ('Babs Chula', 32), ('Rebecca Toolan', 24), ('Stephen Dimopoulos', 18), ('Freda Perry', 0), ('Dave Sheridan', 39), ('Gary Chalk', 53), ('Garwin Sanford', 39), ('Gloria Lee', 9), ('Michelle Goodger', 0), ('Thomas Heaton', 21), ('Pamela Sue Martin', 51), ('Wally Marsh', 0)]"
"Andy Garcia, Dustin Hoffman, Bill Murray, Inés Sastre, Tomás Milian, Elizabeth Peña, Jsu Garcia, Nestor Carbonell, Lorena Feijoo, Millie Perkins, Enrique Murciano Jr., Richard Bradford, Dominik García-Lorido, Steven Bauer, Tony Plana, Juan Fernández, Sergio Carlo, William Marquez, Julio Oscar Mechoso, Daniel Pino, Ruben Rabasa, Victor Rivers, Waldemar Kalinowski","[('Andy Garcia', 145), ('Dustin Hoffman', 199), ('Bill Murray', 189), ('Inés Sastre', 63), ('Tomás Milian', 89), ('Elizabeth Peña', 67), ('Jsu Garcia', 40), ('Nestor Carbonell', 70), ('Lorena Feijoo', 9), ('Millie Perkins', 67), ('Enrique Murciano Jr.', 0), ('Richard Bradford', 56), ('Dominik García-Lorido', 32), ('Steven Bauer', 84), ('Tony Plana', 61), ('Juan Fernández', 7), ('Sergio Carlo', 17), ('William Marquez', 0), ('Julio Oscar Mechoso', 50), ('Daniel Pino', 59), ('Ruben Rabasa', 24), ('Victor Rivers', 29), ('Waldemar Kalinowski', 0)]"
"John Garfield, Patricia Neal, Phyllis Thaxter, Juano Hernandez, Wallace Ford, Edmon Ryan, Ralph Dumke, Guy Thomajan, William Campbell, Sherry Jackson, Donna Jo Boyce, Victor Sen Yung, Peter Brocco, John Doucette, James Griffith, Norman Field, Juan Duval, Spencer Chan, Helen Hatch, Bob McLean, Beverly Mook, John Close, Alex Gerry, Mary Carroll, Glen Turnbull, John Chapin Morgan, John Alvin, David McMahon, Paul McGuire, Len Hendry","[('John Garfield', 97), ('Patricia Neal', 150), ('Phyllis Thaxter', 66), ('Juano Hernandez', 48), ('Wallace Ford', 66), ('Edmon Ryan', 39), ('Ralph Dumke', 36), ('Guy Thomajan', 0), ('William Campbell', 60), ('Sherry Jackson', 37), ('Donna Jo Boyce', 0), ('Victor Sen Yung', 51), ('Peter Brocco', 52), ('John Doucette', 37), ('James Griffith', 7), ('Norman Field', 11), ('Juan Duval', 17), ('Spencer Chan', 20), ('Helen Hatch', 0), ('Bob McLean', 36), ('Beverly Mook', 0), ('John Close', 21), ('Alex Gerry', 35), ('Mary Carroll', 31), ('Glen Turnbull', 0), ('John Chapin Morgan', 0), ('John Alvin', 43), ('David McMahon', 7), ('Paul McGuire', 45), ('Len Hendry', 0)]"
"Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy, Janna Da Loos, Marvin Kaplan, John Maxwell Sholes, David Clarke, Gracille LaVinder, William Self, Paula Raymond, Tommy Noonan, John Maxwell, Ray Walker, Bill Self, Sidney Dubin, Madge Blake, Marjorie Wood, Lester Luther, De Forrest Lawrence, John Fell, David Roger Harris, Anna Q. Nilsson, Rex Evans, Louis Mason, Charles Bastin, James Nolan, E. Bradley Coleman, Glen B. Gallagher, Joseph E. Bernard, Gil Patric, Harry Cody, George Magrill, Bert Davidson","[('Spencer Tracy', 178), ('Katharine Hepburn', 275), ('Judy Holliday', 117), ('Tom Ewell', 89), ('David Wayne', 83), ('Jean Hagen', 107), ('Hope Emerson', 60), ('Eve March', 28), ('Clarence Kolb', 51), ('Emerson Treacy', 37), ('Polly Moran', 51), ('Will Wright', 72), ('Elizabeth Flournoy', 0), ('Janna Da Loos', 0), ('Marvin Kaplan', 46), ('John Maxwell Sholes', 0), ('David Clarke', 8), ('Gracille LaVinder', 0), ('William Self', 39), ('Paula Raymond', 56), ('Tommy Noonan', 54), ('John Maxwell', 81), ('Ray Walker', 26), ('Bill Self', 41), ('Sidney Dubin', 0), ('Madge Blake', 43), ('Marjorie Wood', 29), ('Lester Luther', 0), ('De Forrest Lawrence', 0), ('John Fell', 71), ('David Roger Harris', 0), ('Anna Q. Nilsson', 85), ('Rex Evans', 29), ('Louis Mason', 0), ('Charles Bastin', 9), ('James Nolan', 36), ('E. Bradley Coleman', 0), ('Glen B. Gallagher', 0), ('Joseph E. Bernard', 30), ('Gil Patric', 20), ('Harry Cody', 26), ('George Magrill', 29), ('Bert Davidson', 0)]"
"Gabriel Byrne, F. Murray Abraham, Kathy Bates, Geraldine Chaplin, Robert De Niro, Émilie Dequenne, Adriana Domínguez, Harvey Keitel, Samuel Le Bihan, Pilar López de Ayala, John Lynch, Dominique Pinon, Mark Polish, Michael Polish, Jim Sheridan","[('Gabriel Byrne', 131), ('F. Murray Abraham', 115), ('Kathy Bates', 147), ('Geraldine Chaplin', 144), ('Robert De Niro', 290), ('Émilie Dequenne', 82), ('Adriana Domínguez', 35), ('Harvey Keitel', 129), ('Samuel Le Bihan', 74), ('Pilar López de Ayala', 63), ('John Lynch', 74), ('Dominique Pinon', 88), ('Mark Polish', 43), ('Michael Polish', 64), ('Jim Sheridan', 103)]"
"Van Heflin, Evelyn Keyes, Katherine Warren, John Maxwell, Emerson Treacy, Madge Blake, Wheaton Chambers, Robert Osterloh, Sherry Hall, Louise Lorimer, George Nader, Benny Burt, Louise M. Bates, Steve Carruthers, Betty Jane Howarth, Fred Hoose, Alan Harris, Tiny Jones","[('Van Heflin', 104), ('Evelyn Keyes', 91), ('Katherine Warren', 33), ('John Maxwell', 81), ('Emerson Treacy', 37), ('Madge Blake', 43), ('Wheaton Chambers', 25), ('Robert Osterloh', 30), ('Sherry Hall', 7), ('Louise Lorimer', 27), ('George Nader', 65), ('Benny Burt', 12), ('Louise M. Bates', 0), ('Steve Carruthers', 0), ('Betty Jane Howarth', 0), ('Fred Hoose', 0), ('Alan Harris', 27), ('Tiny Jones', 15)]"
"John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann, Maeve Quinlan, Laura Cerón, Soledad St. Hilaire, Brandon Keener, Gary Mack, Ellen Geer, Brent Sexton, Enrico Colantoni, Nick Anavio, Deborah Van Valkenburgh, Malik Yoba, Lillian Hurst, Jack Conley, Juan Carlos Cantu, Manuel G. Jimenez, Luis Contreras, Patricia Belcher, Paul Norwood","[('John C. Reilly', 124), ('Diego Luna', 103), ('Maggie Gyllenhaal', 149), ('Jonathan Tucker', 62), ('Peter Mullan', 75), ('Zitto Kazann', 19), ('Maeve Quinlan', 60), ('Laura Cerón', 32), ('Soledad St. Hilaire', 12), ('Brandon Keener', 34), ('Gary Mack', 41), ('Ellen Geer', 49), ('Brent Sexton', 38), ('Enrico Colantoni', 61), ('Nick Anavio', 0), ('Deborah Van Valkenburgh', 46), ('Malik Yoba', 49), ('Lillian Hurst', 33), ('Jack Conley', 29), ('Juan Carlos Cantu', 10), ('Manuel G. Jimenez', 0), ('Luis Contreras', 25), ('Patricia Belcher', 44), ('Paul Norwood', 11)]"
"James Whitmore, Michele Mariana, Gary Krug, Chris Ritchie, Carol Edelman, John Hennigan","[('James Whitmore', 98), ('Michele Mariana', 9), ('Gary Krug', 0), ('Chris Ritchie', 15), ('Carol Edelman', 23), ('John Hennigan', 55)]"
"Pierce Brosnan, Michael Gambon","[('Pierce Brosnan', 181), ('Michael Gambon', 157)]"
